Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ds.fhir.gh.tb-pass.json	9077	-	0	0	0	0	0	0	4	458	0	0	0	0	0	0	0	0	0	0	91	93	0	0	0	4	0	1
fsh-generated/resources/Bundle-TBPassExample.json	11132	5	10	0	0	0	0	0	1	509	0	0	0	0	0	0	0	1	0	0	44	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-regimen-types.json	479	2	0	0	0	0	0	0	0	19	0	0	1	0	0	0	0	0	0	0	13	2692	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-specimen-types.json	523	1	0	0	1	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	65	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-test-results.json	682	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	56	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-test-types.json	497	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-treatment-outcome.json	1268	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	56	0	0	0	0	0	0
fsh-generated/resources/Composition-tbpass-composition-001.json	2915	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	14	25	0	0	0	0	0	0
fsh-generated/resources/Condition-tbpass-problem-tb.json	471	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/MedicationStatement-tbpass-treatment-regimen.json	905	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	14	0	0	0	0	0	0
fsh-generated/resources/Observation-tbpass-labresult-001.json	806	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-tbpass-treatment-outcome.json	503	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Observation-tbpass-vitals.json	856	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Patient-tbpass-patient-bernard.json	805	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Specimen-tbpass-specimen-ak001.json	471	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ghana-tb-observation.json	705	1	0	47	1	0	0	0	0	44	0	0	0	0	0	0	0	1	0	0	177	646	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-ghana-tb-vital-signs.json	637	2	0	51	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	158	522	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-lab-results-observation.json	2729	2	0	80	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	172	487	0	0	0	8	1	2
fsh-generated/resources/StructureDefinition-regimen-medicationstatement.json	1987	2	0	55	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	163	371	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-tb-pass-composition.json	7136	7	0	251	0	0	0	0	0	141	0	0	1	0	0	0	0	3	0	0	693	1734	0	0	0	29	0	3
fsh-generated/resources/StructureDefinition-tb-pass-patient.json	3948	3	0	42	0	0	0	0	0	35	0	0	0	0	0	0	0	1	0	0	208	296	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-tb-pass-specimen.json	1796	2	0	27	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	133	211	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-tb-patient-ips.json	11710	3	0	32	0	0	0	0	0	23	0	0	0	0	0	0	0	1	0	0	139	137	0	0	0	5	1	0
fsh-generated/resources/StructureDefinition-tb-problem.json	870	2	0	17	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	119	1764	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-treatment-outcome-observation.json	1952	1	0	20	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	157	342	0	0	0	7	0	0
fsh-generated/resources/ValueSet-regimen-types-vs.json	399	2	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	12	117	0	0	0	0	0	0
fsh-generated/resources/ValueSet-specimen-types-vs.json	405	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	75	0	0	0	0	0	0
fsh-generated/resources/ValueSet-test-results-vs.json	393	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	81	0	0	0	0	0	0
fsh-generated/resources/ValueSet-test-types-vs.json	381	2	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	72	0	0	0	1	0	0
fsh-generated/resources/ValueSet-treatment-outcome-vs.json	425	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	81	0	0	0	0	0	0
